AGE,E401K,FSIZE,INC,MALE,MARR,NETTFA
42,0,4,24.336,0,1,-0.3
40,1,4,34.425,0,1,-6.46
45,0,2,43.131,0,1,59.16
54,1,4,57.063,0,1,138.999
30,1,1,41.535,1,0,83.7
32,0,3,61.722,1,1,-2.48
43,0,2,99.153,0,1,80.802
28,0,3,37.296,0,1,-2
38,1,3,27.06,0,0,37.1
26,0,1,32.46,0,0,-4.49
46,1,3,28.491,1,0,4.02
41,1,2,19.596,1,0,-1.2
37,1,5,18.54,0,0,0.964
54,1,2,102.435,0,1,139.629
39,0,4,26.7,0,1,46
43,1,3,43.788,0,0,46.85
47,1,2,45.87,0,1,38.8
61,0,2,38.88,1,0,-17.7
43,0,3,17.706,0,0,3.399
63,0,2,21.63,0,0,-0.74
36,1,3,43.437,0,1,12.818
34,1,4,57.15,0,1,2.2
51,1,1,22.902,1,0,61.749
42,0,5,40.74,0,1,3.6
32,0,4,13.182,0,1,-2.373
44,0,1,11.61,0,0,0.05
62,1,2,108.588,0,1,84.196
53,1,2,29.772,0,1,1.198
45,1,3,67.32,0,1,36.199
57,1,3,46.236,0,1,22.398
31,0,4,32.589,0,1,1.3
40,0,2,60.498,0,1,10.05
30,0,2,30.21,1,0,3.1
35,1,4,55.125,0,1,23.969
56,1,2,56.676,0,1,-6.239
57,1,2,70.845,0,1,200
44,0,3,46.815,0,0,30.902
27,1,1,14.43,0,0,-4.5
31,1,2,58.173,0,1,22.45
40,1,2,50.646,0,0,45.584
32,0,1,12.207,1,0,-0.843
52,0,2,62.526,0,1,69.1
32,1,5,44.703,1,1,-14
25,0,4,85.38,0,1,-30.24
35,0,1,34.647,1,0,4.999
41,1,3,27.786,1,1,-0.001
63,1,2,54.45,0,1,94.599
52,1,1,19.638,1,0,8.5
36,1,2,33.312,0,0,77.2
25,0,3,24.534,0,1,5.15
28,0,1,18.36,1,0,0.015
27,0,1,28.74,1,0,-1.2
25,0,3,36.168,0,1,-1.501
47,0,3,17.01,0,1,4.15
39,0,3,17.412,0,0,0
37,0,2,32.427,0,1,0.1
28,0,1,38.058,1,0,5.2
46,1,3,58.317,0,1,36.5
26,0,2,15.822,0,1,11.4
26,0,2,43.275,0,1,-3.073
34,0,4,17.445,0,1,-7
42,1,4,21.639,0,1,0.249
61,0,2,48.033,0,0,32.055
54,0,2,49.08,0,1,45.7
61,1,1,35.292,1,0,3
27,0,1,28.575,0,0,1.249
43,0,1,33.366,1,0,12.599
51,1,2,35.472,1,0,60.398
35,0,3,42.93,1,1,-18.88
32,0,2,17.58,0,1,12.2
36,0,4,77.01,0,1,26
37,0,11,37.662,0,1,-2.382
57,1,1,20.43,0,1,-1.94
40,0,2,27.84,0,0,0
37,0,1,49.806,0,0,110.103
34,0,3,24.678,0,1,-0.312
60,0,3,15.81,1,1,-3.2
27,1,4,17.628,0,1,12.34
37,0,4,20.406,0,1,-10.515
44,0,3,37.644,1,1,-6.656
43,0,3,89.175,1,1,-0.2
56,0,3,30.165,1,1,-0.101
34,0,2,27.294,0,0,-2.5
39,0,1,34.509,1,0,13.3
30,0,4,28.716,0,1,-19.175
38,1,1,15,1,0,2.85
33,1,4,29.325,0,1,5.513
39,0,3,56.913,1,1,35.883
29,1,4,51.051,0,1,16.6
49,1,2,169.2,0,1,484.198
49,0,1,25.704,0,0,-0.369
37,0,1,25.8,0,0,13.5
36,1,4,110.985,0,1,10.8
34,0,5,35.625,0,1,-8
39,0,4,45.762,0,1,16.069
56,1,4,46.911,0,1,9.02
26,0,4,15.906,0,0,0.1
29,1,2,50.433,0,1,14.126
44,1,4,53.844,0,1,4.73
26,0,2,28.356,0,1,4.591
39,1,2,50.4,1,0,5.8
43,1,2,33.15,0,0,24.68
27,0,6,16.488,0,1,-1.422
50,0,1,41.775,1,0,9.499
34,1,4,36.147,0,1,-0.071
41,0,3,34.95,0,0,0.5
27,1,1,31.005,1,0,0
46,1,3,48.528,0,1,3.22
45,0,4,34.68,1,1,-57
42,0,1,12.6,0,0,-9.55
52,0,2,20.07,1,1,-4
31,0,3,38.319,0,1,0.09
28,0,4,20.73,0,1,1.9
31,0,1,28.248,1,0,15.15
55,0,1,31.098,0,0,20.299
44,1,1,24.996,1,0,1.4
26,0,1,22.338,1,0,0.892
27,0,4,86.79,1,1,1.4
27,0,3,14.655,0,0,0
42,1,6,16.224,0,0,-1.5
59,0,1,25.185,0,0,237.95
40,0,1,24,1,0,0
39,0,1,48.027,1,0,1.9
35,0,1,17.4,0,0,-10.1
35,0,7,18.75,0,1,0
31,1,1,30.576,0,0,13.5
42,1,5,91.776,1,1,12
25,0,1,17.85,1,0,0
54,1,1,29.31,0,0,4.8
42,1,3,66.852,0,1,10.901
30,1,1,23.07,0,0,2.16
28,1,4,66.15,1,1,-1.29
54,1,5,81.711,0,1,249.6
54,0,2,31.587,0,1,22.998
33,1,1,64.878,1,0,27.343
28,0,1,36.06,0,0,-5
39,0,2,33.6,0,1,-9
39,0,5,60.03,0,1,-3.3
37,0,1,60.225,1,0,-15.8
43,1,5,65.7,0,1,53.948
61,1,3,32.49,0,0,20.6
33,0,4,109.608,1,1,-9
44,1,4,97.887,0,1,60.196
41,1,1,50.268,1,0,20.1
63,0,2,55.5,0,1,55
36,1,4,50.484,0,1,8.6
41,0,6,70.905,0,1,1
35,0,1,16.14,1,0,12.999
30,0,4,17.967,0,0,-2
44,1,3,24.48,0,1,3.4
60,0,3,25.005,0,1,-1.829
31,0,2,31.47,0,1,-0.75
25,0,1,26.61,0,0,-5.8
31,0,7,22.011,0,1,-1.9
37,0,5,42.459,0,1,48.599
48,0,5,27,0,1,47.5
53,0,3,101.949,0,1,32.5
55,0,7,22.74,1,1,15.999
63,0,2,20.58,0,1,2.999
42,1,3,96.864,0,1,-9.38
46,0,3,47.403,0,0,-0.301
51,0,3,11.094,0,1,-0.3
55,1,2,51.051,0,1,62
56,1,4,34.743,0,1,36.5
37,0,4,54.621,0,0,5.3
36,0,6,47.385,0,1,-0.9
51,0,3,46.746,0,1,0.899
44,0,1,103.455,1,0,68.248
44,1,6,24.21,0,1,5.59
44,0,5,34.89,0,1,-1.184
26,0,2,63.432,0,1,23.397
44,0,3,44.268,0,1,-2
27,0,3,44.508,0,1,-4.199
50,1,2,26.19,0,1,63.249
60,0,2,38.949,0,1,0.599
31,0,1,12.87,1,0,2.8
57,1,3,17.484,0,0,27.999
29,0,2,36.873,0,1,-4.9
27,0,3,17.04,0,1,-0.275
50,0,1,22.137,0,0,0.16
36,0,1,25.02,1,0,0.1
27,1,1,39.288,1,0,6.6
39,0,5,26.925,0,1,-2.4
33,0,1,23.661,0,0,4.1
42,0,4,28.8,0,1,-1.5
41,1,4,23.661,0,1,-3.452
34,0,4,44.775,0,1,-26.28
31,0,5,68.04,1,1,44.75
44,0,4,29.526,0,0,18.449
35,0,3,32.022,0,1,0.449
32,0,4,52.2,0,1,15
30,0,4,53.04,0,1,-4
41,1,5,43.47,0,1,-0.7
47,1,2,42.84,0,1,89.664
38,1,4,43.26,0,1,10.2
39,1,4,68.676,0,1,1.05
31,0,1,23.748,1,0,-1.55
48,0,4,19.68,0,1,0.08
28,0,3,29.604,0,0,-15.9
43,1,1,24.06,0,0,18.5
46,0,1,15.54,1,0,-2
56,1,4,49.38,0,1,37.4
42,1,4,54.597,0,1,1.7
55,0,1,18.468,0,0,-0.5
49,0,3,39.681,0,0,11.899
35,0,3,89.118,0,1,-315.701
57,0,2,10.797,1,0,0
44,0,4,42.024,0,1,-1.2
37,0,2,44.475,0,1,0.749
30,0,1,29.364,0,0,-9.1
55,1,2,33.54,0,1,18.549
50,0,4,27.561,0,1,0.84
43,1,2,29.466,1,0,123.639
46,0,2,139.137,1,1,9
49,0,1,20.43,0,0,0.5
31,0,1,18.015,1,0,2
33,1,1,34.671,1,0,-11.4
34,1,4,65.556,0,1,9.145
30,0,1,20.43,0,0,0.499
43,1,1,22.527,0,0,1.149
41,1,1,54.075,1,0,68.449
36,0,2,12.243,0,0,0.299
40,1,3,10.368,0,1,4.947
40,1,2,14.04,0,0,1
30,1,2,43.314,1,1,4.5
62,0,2,29.616,0,0,5.071
62,0,3,26.88,0,1,99.35
25,0,2,18.999,1,0,-3.05
28,0,4,25.5,0,1,2.4
33,1,3,52.962,0,1,-9.8
47,1,2,20.568,0,1,-0.064
26,0,4,35.493,0,1,-2.32
55,1,3,50.163,0,0,53.525
36,1,5,64.104,0,1,51.2
61,0,3,38.94,0,1,36.5
44,1,2,35.652,0,0,-3.2
26,0,4,12.375,0,1,-0.6
44,0,5,13.728,0,1,-4.108
33,0,2,17.229,0,0,0.374
27,0,2,15.888,1,0,-0.15
50,1,2,119.364,0,1,72.1
40,1,3,65.844,0,1,6.599
44,0,5,34.686,0,1,-39.915
54,0,1,21.948,0,0,20.75
48,0,2,23.634,0,0,0
40,0,5,34.68,0,1,1.6
42,0,1,35.616,0,0,42.499
63,1,2,59.34,0,1,21.299
28,0,4,21.6,0,1,-0.8
61,0,5,49.002,0,1,-29.001
60,1,2,136.389,1,1,141.223
26,0,1,28.83,1,0,6.899
42,1,2,27.105,0,0,-5.52
25,0,1,31.698,0,0,-2.97
35,1,2,32.244,1,1,2.14
34,1,4,53.1,0,1,6.2
42,1,1,36.939,1,0,2.4
55,0,2,27,0,1,54.997
36,1,1,34.329,0,0,-0.03
43,1,4,71.844,0,1,50.594
38,1,3,84.504,1,1,-9.087
60,0,2,45.549,0,1,23.309
27,0,1,16.2,0,0,0
38,1,1,18.012,1,0,3.487
54,1,2,75.003,1,1,156.498
37,0,4,52.995,0,1,8.249
37,1,3,47.664,0,1,32.5
33,0,4,28.56,0,1,0.3
27,1,2,65.847,0,1,12.625
28,1,2,60.27,0,1,7.3
51,0,3,137.16,0,1,5.004
55,1,2,25.638,0,1,0.2
26,0,2,59.199,0,1,-17.975
27,0,2,56.691,0,1,9.699
56,0,1,36.42,0,0,4.999
41,0,2,13.572,0,0,0
49,1,2,54.492,0,1,25.124
43,0,1,23.463,1,0,-4.811
35,0,3,33.759,0,1,-2.051
34,1,3,47.928,1,1,6.4
36,1,6,46.533,0,1,-14.3
62,1,3,48.138,0,1,77.9
62,0,1,23.535,0,0,137.8
34,1,4,62.355,0,1,-4
64,0,2,30.432,0,1,76
25,1,1,18.258,0,0,0.1
50,1,1,24.624,1,0,17.105
46,1,5,70.374,0,1,34.9
25,0,4,26.52,0,0,0
47,1,4,100.53,0,1,242
46,0,3,44.22,0,1,21.862
47,0,4,33.687,0,1,33
32,0,12,14.997,0,1,0.036
38,0,3,31.956,0,0,-4.325
49,0,4,69.555,0,1,-15.141
37,0,2,28.902,0,0,0
29,1,1,24.156,0,0,0.599
27,0,2,13.41,0,0,7.62
53,0,3,50.439,0,1,9.675
55,0,1,16.71,1,0,0
42,0,1,69.375,1,0,2.9
57,1,3,40.152,0,1,97.899
55,0,5,33.681,0,1,3.5
50,1,2,50.742,0,1,75.149
32,0,8,16.215,0,1,-0.4
44,0,3,15.198,0,0,0.9
40,1,4,54.594,1,1,8.349
37,1,3,78.45,0,1,36.998
39,0,6,100.692,0,1,56.5
51,0,2,104.802,0,1,106
49,1,3,192.99,0,1,122
46,0,2,25.773,0,1,-9.5
27,0,3,32.154,0,1,-0.296
46,0,4,73.785,0,1,13.209
45,1,5,101.589,1,1,-8.334
54,0,2,31.008,0,1,15.5
55,0,3,46.221,0,1,-336.789
62,0,1,17.403,0,0,11.137
46,1,1,12.399,0,0,13.486
30,0,2,35.058,0,1,-10.525
50,1,6,24.114,0,1,-2.91
34,1,6,28.98,0,1,0.35
50,1,1,35.7,0,0,41.75
27,1,3,43.275,0,1,18.8
42,0,5,11.253,0,0,-1.5
28,0,3,24.6,1,0,-2.5
43,0,2,14.7,0,0,-3.5
32,0,4,43.521,0,1,3.5
30,0,2,57,0,1,-10.275
27,0,2,18.81,0,1,26.2
36,1,5,48.819,0,1,5.905
39,1,5,68.949,0,1,46.5
26,0,4,24.942,1,0,4.799
37,1,4,35.706,1,1,28.049
47,0,2,16.26,1,0,1.7
45,0,6,28.56,0,1,0.05
61,1,4,16.8,1,0,45
31,0,3,25.56,0,1,16.5
48,1,4,35.082,0,1,-2.485
39,1,4,44.88,0,1,14.74
25,0,1,14.895,1,0,-0.1
52,0,3,28.191,0,1,-1
30,0,1,15.966,0,0,0
40,0,4,59.34,0,1,140.6
49,0,3,47.019,1,0,129.12
54,0,2,12.048,0,0,-4.8
25,0,4,11.22,0,1,0
62,0,2,65.028,0,1,47.7
36,1,3,53.67,0,1,14.099
61,1,2,13.596,0,1,54.249
36,1,3,28.872,1,1,2.785
30,0,5,10.56,0,1,-8.55
28,0,1,25.8,1,0,10.01
31,1,4,51.051,0,1,-0.39
42,0,7,25.068,0,1,1.449
25,0,3,34.794,0,1,-0.45
31,1,1,28.635,1,0,5
49,0,4,54.063,0,1,2.175
29,0,3,43.281,0,1,1.368
25,0,2,12.555,0,0,-10.25
62,0,3,25.5,0,1,-1.3
37,1,4,26.868,0,0,3.2
42,0,3,20.331,0,0,-2.252
31,0,1,20.475,0,1,-0.1
34,0,1,36.474,1,0,1.1
33,0,5,33.225,0,1,16.975
34,1,5,25.068,0,1,8.025
47,0,1,28.182,1,0,19.599
40,0,3,32.676,0,0,9
43,1,6,49.044,0,1,24.278
32,0,8,36.012,0,1,-10.4
48,0,3,13.215,0,0,0.949
32,0,5,11.1,0,1,5
41,1,6,12.75,0,1,0.725
43,0,5,10.5,0,1,0
36,1,1,24.045,0,0,0.14
40,1,3,66.801,0,1,295.898
37,0,4,43.968,0,1,11.199
64,0,2,38.124,0,1,45.9
33,1,1,45.75,1,0,21.5
37,0,3,35.73,0,1,-9.176
36,0,5,26.094,0,1,-1.15
31,0,3,19.2,1,0,-9.4
41,0,1,19.17,0,0,-6.9
39,1,1,100.287,1,0,259.198
33,1,1,36.963,1,0,5.696
38,1,1,24.945,0,0,2.85
53,0,2,48.732,0,1,149.601
35,0,5,27.792,1,1,1
31,1,3,25.74,0,1,-4.83
40,0,4,22.752,0,0,-6.7
38,1,2,64.974,0,1,29.13
37,1,4,50.07,0,1,2.75
49,0,4,14.97,0,1,2.099
36,1,4,42.834,0,1,53.421
32,1,5,73.707,0,1,-10.55
26,0,3,42.738,0,1,1.024
31,0,3,42.555,0,1,-101.436
28,0,1,29.16,0,0,2.6
29,0,3,68.439,0,1,24.35
48,1,1,17.214,0,0,12.048
28,1,3,36.084,0,0,3.35
42,1,4,98.292,1,1,351.62
58,1,3,33.816,1,1,3.6
48,1,5,65.601,0,1,42.2
46,1,1,45.486,0,0,16.05
56,0,2,91.692,0,1,47
57,0,3,33.777,0,1,42.4
37,1,2,57.72,1,1,3.6
44,1,5,45.744,0,1,2.8
37,0,3,28.32,0,0,-9
41,1,1,47.238,1,0,63.7
39,0,4,37.569,0,1,-6.301
56,0,1,39.546,1,0,65.897
42,1,4,111.978,0,1,96.6
30,0,4,18.378,0,1,-1.12
61,0,2,33.636,0,1,86.999
61,0,3,42.744,0,1,29.2
61,0,2,23.052,0,0,-1.05
62,0,3,40.5,0,1,44.763
40,0,1,16.218,1,0,1
55,0,4,32.4,0,0,-0.4
28,0,1,21.267,0,0,3.55
29,0,4,16.203,1,1,0
25,0,1,17.793,1,0,15.6
42,1,6,63.954,0,1,-25.57
31,0,4,15.3,0,0,-0.523
28,1,4,42.513,0,1,19
41,1,4,27.111,0,1,23.312
27,0,3,45.654,0,1,6.757
42,1,4,41.634,0,1,17.099
41,1,4,51.141,0,1,0.375
34,0,1,17.022,0,0,-27.77
29,0,4,33.63,0,1,2.75
34,0,4,33.543,0,1,-1.55
36,1,4,58.026,0,1,12.148
45,0,2,25.527,0,0,0.915
32,1,3,39.453,0,1,0.48
48,1,4,98.034,0,1,32.29
34,1,4,50.262,0,1,15
44,1,3,41.124,0,1,8.774
54,0,8,37.98,0,1,4.2
28,0,1,22.134,0,0,-0.994
27,1,2,62.496,0,1,8.352
50,1,2,37.635,0,1,5.85
25,0,6,26.796,0,1,-1.431
43,1,4,32.712,0,1,12.049
46,1,4,80.7,0,1,51
44,1,3,108.795,1,1,19.375
30,0,2,21.72,0,1,23.85
28,1,3,53.664,0,1,7.5
35,0,1,30.804,0,0,-1.6
31,0,2,47.16,0,1,16.055
37,1,4,54.996,0,1,-4.3
41,1,5,91.689,0,1,72.475
49,0,1,41.658,0,0,1.499
64,0,5,17.619,0,1,-0.45
34,0,1,66,1,0,25.29
51,1,4,23.634,0,1,2.195
29,1,4,33.375,0,1,15
57,0,1,38.04,1,0,79.998
26,0,2,33.093,0,1,-2.5
38,0,4,80.613,0,1,54
32,0,5,55.68,0,1,1.163
40,1,5,55.464,0,1,67.703
42,1,3,38.316,0,0,-10.8
32,1,2,79.206,0,1,32.292
59,0,1,26.664,0,0,5.855
47,0,2,15.33,1,0,0.499
29,0,5,35.643,0,1,-2
49,0,1,18.9,1,0,0
29,1,3,21.42,0,1,-0.225
58,0,5,51.981,0,1,17.496
36,1,4,39.168,0,1,80.6
62,0,1,20.97,0,0,11.983
37,0,1,12.483,1,0,55.5
33,1,4,11.349,0,0,-7
25,1,1,26.73,0,0,15.5
56,1,2,34.803,0,1,24.699
29,1,3,143.781,0,1,8.25
37,1,4,25.641,0,0,60.7
54,0,2,20.703,0,0,2.491
44,1,4,51.18,0,0,-7.4
48,0,1,11.913,0,0,-5.226
46,0,1,58.992,1,0,6
42,0,4,41.316,0,1,3.5
29,0,3,21.021,1,1,-1.502
50,1,1,55.296,1,0,149.7
31,0,4,55.62,0,1,-3.395
44,1,8,72,0,1,106.3
62,0,1,18.888,0,0,2
49,1,3,42.915,0,0,4.975
38,0,1,21.6,1,0,0
33,1,2,52.737,1,1,4.766
39,1,7,39.12,0,1,5
28,0,1,68.229,1,0,-19.45
43,0,4,20.583,0,0,-4.3
52,1,3,30.102,0,1,8.85
27,0,1,25.2,0,0,-1.35
54,0,3,44.616,0,1,0
31,1,2,62.64,0,1,29.5
49,1,1,32.838,0,0,42.498
40,1,4,40.677,0,1,5.863
35,1,3,25.731,1,0,3.2
35,1,3,16.371,0,0,-1.55
61,0,4,49.05,0,1,20.7
41,0,1,59.4,0,0,52.15
30,0,2,33.219,0,1,-1.563
25,1,3,33.174,0,1,3.836
59,1,1,28.785,0,0,164.7
40,1,4,52.263,0,1,-6.1
45,0,2,63.3,0,1,0.29
44,0,5,15.135,0,1,0.4
29,0,9,17.856,0,1,0
35,1,2,50.4,0,1,45.5
50,0,2,27.516,0,1,54.5
34,1,1,13.101,1,0,-7.5
29,0,4,57.87,0,1,2
31,0,4,32.871,0,1,0.515
52,0,3,67.746,0,1,-5.901
36,1,6,45.21,0,1,7.92
38,0,4,27.852,0,1,0.1
25,0,2,65.262,0,1,-3.899
57,1,2,32.1,0,1,18.799
36,0,4,34.386,0,1,0.1
29,0,3,20.313,1,1,0.21
48,0,1,26.916,1,0,47.488
59,0,2,79.323,0,1,95.299
41,0,4,45.81,0,1,1.7
56,1,2,11.49,0,0,0.5
39,0,3,21.603,0,0,-11.551
34,0,4,20.667,0,1,4.572
51,0,2,13.5,0,0,0
39,0,1,42.009,0,0,17
28,0,3,68.214,0,1,8.215
28,0,3,39.609,1,1,-3.8
37,1,3,55.263,1,0,1098.624
48,0,3,26.958,0,1,0.049
35,0,3,20.787,0,1,-0.33
31,1,4,58.323,0,1,24.448
29,0,2,45.687,0,1,7.926
42,0,4,18.423,0,1,0
35,0,2,25.215,0,1,-2.2
31,0,6,19.812,0,1,-3.651
46,0,1,43.2,1,0,0
54,1,7,101.826,0,1,46.603
48,0,3,34.437,0,1,-2.645
52,0,4,53.955,0,1,-7
53,1,2,40.125,0,1,7.286
32,0,2,49.329,0,1,-6.705
25,0,1,22.68,1,0,0.2
39,1,4,38.856,0,1,9.675
60,1,3,25.542,0,1,83.199
25,0,3,32.409,0,1,-1.775
